,Connection Date,HOST TO,Connection Cap (MW),Project Name,Plant Type,MW Change
209,2027-10-26,SPT,100.0,1,1,100.0
210,2027-10-28,SPT,250.0,1,1,250.0
211,2027-10-29,NGET,549.9,3,2,549.9
212,2027-10-29,SPT,400.78,3,2,400.78
213,2027-10-30,NGET,3323.0,5,3,1990.0
214,2027-10-30,SHET,210.0,1,1,210.0
215,2027-10-30,SPT,585.0,2,2,585.0
216,2027-10-31,NGET,2965.8,16,3,2066.5
217,2027-10-31,SHET,555.3,6,3,555.3
218,2027-10-31,SPT,978.1,13,4,822.7
219,2027-12-15,NGET,500.0,1,1,500.0
220,2027-12-30,SPT,750.0,1,1,750.0
221,2028-01-01,NGET,240.0,1,1,240.0
222,2028-02-01,SHET,68.0,1,1,68.0
223,2028-03-20,NGET,400.0,1,1,400.0
224,2028-03-30,NGET,500.0,1,1,500.0
225,2028-03-30,SHET,105.0,1,1,105.0
226,2028-03-31,NGET,1760.0,3,2,1760.0
227,2028-03-31,SPT,163.3,1,1,38.3
228,2028-04-01,NGET,1500.0,2,2,926.0
229,2028-04-01,SHET,462.0,3,1,209.0
230,2028-04-01,SPT,382.2,3,1,297.2
231,2028-04-06,NGET,3340.0,1,1,1670.0
232,2028-04-28,SPT,100.0,1,1,100.0
233,2028-04-30,SPT,2930.0,6,3,2930.0
234,2028-05-01,NGET,800.0,1,1,440.0
235,2028-05-31,SHET,36.0,1,1,36.0
236,2028-05-31,SPT,400.0,1,1,400.0
237,2028-06-01,NGET,49.9,1,1,49.9
238,2028-06-14,SPT,49.9,1,1,49.9
239,2028-06-23,SPT,228.0,1,1,228.0
240,2028-06-30,NGET,228.5,2,1,228.5
241,2028-06-30,SHET,517.4,4,1,418.4
242,2028-06-30,SPT,436.0,2,2,436.0
243,2028-07-01,SPT,400.0,1,1,400.0
244,2028-07-26,NGET,95.25,1,1,95.25
245,2028-07-30,SPT,67.2,1,1,67.2
246,2028-07-31,SHET,450.0,1,1,450.0
247,2028-07-31,SPT,419.0,2,2,419.0
248,2028-08-01,NGET,500.0,1,1,500.0
249,2028-08-18,SPT,99.0,2,1,99.0
250,2028-08-21,SPT,130.0,2,1,130.0
251,2028-08-31,NGET,54.0,1,1,54.0
252,2028-08-31,SHET,118.30000000000001,2,1,118.30000000000001
253,2028-08-31,SPT,250.0,1,1,250.0
254,2028-09-11,NGET,246.4,1,1,246.4
255,2028-09-22,NGET,60.0,1,1,60.0
256,2028-09-29,NGET,57.0,1,1,57.0
257,2028-09-29,SPT,33.6,1,1,33.6
258,2028-09-30,SPT,50.0,1,1,50.0
259,2028-10-01,NGET,616.0,4,2,616.0
260,2028-10-06,NGET,310.0,1,1,310.0
261,2028-10-16,SPT,60.0,1,1,60.0
262,2028-10-25,NGET,200.0,1,1,200.0
263,2028-10-27,NGET,999.96,2,2,800.0
264,2028-10-27,SPT,249.9,1,1,249.9
265,2028-10-30,NGET,6818.0,13,3,6083.0
266,2028-10-30,SHET,40.8,2,1,40.8
267,2028-10-30,SPT,349.4,4,2,349.4
268,2028-10-31,NGET,7154.0,26,6,5542.2
269,2028-10-31,SHET,1250.4,15,5,1250.4
270,2028-10-31,SPT,4001.61,12,4,4001.61
271,2028-11-01,NGET,1300.0,2,1,1300.0
272,2028-11-30,NGET,480.0,1,1,480.0
273,2028-11-30,SHET,264.9,3,1,264.9
274,2028-12-01,SPT,108.0,2,2,108.0
275,2028-12-31,NGET,5620.0,3,2,1770.0
276,2028-12-31,SHET,100.0,1,1,100.0
277,2029-01-01,NGET,719.0,1,1,719.0
278,2029-02-28,SPT,84.0,1,1,84.0
279,2029-03-31,NGET,660.0,3,2,620.0
280,2029-03-31,SHET,300.0,1,1,300.0
281,2029-04-02,NGET,300.0,1,1,300.0
282,2029-04-13,SPT,150.0,1,1,150.0
283,2029-04-26,SPT,84.0,1,1,84.0
284,2029-04-27,SPT,45.5,1,1,45.5
285,2029-04-30,SPT,399.0,2,1,399.0
286,2029-05-01,SHET,49.5,1,1,49.5
287,2029-05-10,NGET,151.2,1,1,151.2
288,2029-05-12,NGET,110.0,1,1,110.0
289,2029-05-25,SPT,67.0,1,1,67.0
290,2029-05-28,SPT,500.0,1,1,500.0
291,2029-05-30,SHET,105.0,1,1,105.0
292,2029-05-31,SHET,127.0,3,2,127.0
293,2029-06-01,NGET,840.0,2,1,840.0
294,2029-06-14,NGET,249.0,1,1,249.0
295,2029-06-15,SPT,1000.0,2,1,577.0
296,2029-06-30,NGET,977.0,5,3,977.0
297,2029-06-30,SHET,135.0,2,2,135.0
298,2029-06-30,SPT,96.0,1,1,10.5
299,2029-07-01,NGET,500.0,1,1,500.0
300,2029-07-12,NGET,200.0,1,1,200.0
301,2029-07-21,NGET,500.0,1,1,500.0
302,2029-07-30,NGET,190.0,1,1,190.0
303,2029-07-30,SHET,79.2,1,1,79.2
304,2029-07-30,SPT,49.9,1,1,49.9
305,2029-07-31,NGET,500.0,1,1,500.0
306,2029-07-31,SHET,149.0,1,1,149.0
307,2029-07-31,SPT,150.0,1,1,150.0
308,2029-08-13,SPT,33.0,1,1,33.0
309,2029-08-30,NGET,600.0,1,1,600.0
310,2029-08-31,SPT,350.0,1,1,350.0
311,2029-09-01,NGET,600.0,1,1,600.0
312,2029-09-17,SPT,150.0,1,1,150.0
313,2029-09-18,SHET,168.0,1,1,168.0
314,2029-09-28,SHET,112.2,1,1,112.2
315,2029-09-30,NGET,400.0,1,1,400.0
316,2029-09-30,SHET,200.0,1,1,200.0
317,2029-09-30,SPT,38.4,1,1,38.4
318,2029-10-01,NGET,570.0,2,2,570.0
319,2029-10-01,SPT,500.0,1,1,500.0
320,2029-10-09,SPT,400.0,1,1,400.0
321,2029-10-17,NGET,57.0,1,1,57.0
322,2029-10-17,SPT,1434.0,3,1,1434.0
323,2029-10-26,NGET,500.0,1,1,500.0
324,2029-10-26,SPT,75.0,2,1,75.0
325,2029-10-29,SPT,112.0,1,1,112.0
326,2029-10-30,NGET,5889.9,10,3,4639.9
327,2029-10-30,SPT,1542.8,4,3,1292.8
328,2029-10-31,NGET,5153.9,15,5,5153.9
329,2029-10-31,SHET,7432.4,19,6,6820.4
330,2029-10-31,SPT,597.9,6,4,597.9
331,2029-11-22,SPT,400.0,1,1,400.0
332,2029-11-30,NGET,3700.0,3,2,3700.0
333,2029-12-31,NGET,1458.0,4,2,1038.0
334,2030-01-01,SHET,90.0,1,1,48.6
335,2030-01-20,SHET,144.8,1,1,144.8
336,2030-03-31,NGET,1420.0,2,2,960.0
337,2030-04-01,NGET,800.0,1,1,400.0
338,2030-04-30,SHET,150.0,1,1,150.0
339,2030-04-30,SPT,564.8,6,2,564.8
340,2030-05-02,SPT,166.61,1,1,166.61
341,2030-05-30,SHET,470.0,3,1,470.0
342,2030-05-31,SHET,44.0,1,1,44.0
343,2030-06-01,SHET,36.0,1,1,36.0
344,2030-06-28,SPT,185.8,2,2,185.8
345,2030-06-30,SPT,95.0,1,1,95.0
346,2030-07-30,NGET,500.0,1,1,250.0
347,2030-07-31,SPT,750.0,2,1,750.0
348,2030-08-30,NGET,1800.0,1,1,1800.0
349,2030-08-30,SPT,370.0,2,2,370.0
350,2030-09-01,NGET,400.0,1,1,400.0
351,2030-09-30,NGET,1700.0,1,1,235.0
352,2030-09-30,SHET,153.0,2,2,153.0
353,2030-09-30,SPT,150.0,1,1,150.0
354,2030-10-04,NGET,1220.0,1,1,910.0
355,2030-10-30,NGET,2829.99,5,3,2530.0
356,2030-10-30,SPT,900.0,4,1,900.0
357,2030-10-31,NGET,8484.9,18,5,8484.9
358,2030-10-31,SHET,3472.9,19,7,3235.9
359,2030-10-31,SPT,3026.0,11,4,3026.0
360,2030-11-30,NGET,1500.0,1,1,1500.0
